Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
EE5,development_type_code,,,,,,,,,,A11: 2.61%
EE5,development_type_code,,,,,,,,,,B12: 0.8%
EE5,development_type_code,,,,,,,,,,B11: 0.6%
EE5,development_type_code,,,,,,,,,,C11: 0.2%
EE7,building_footprint,31.87,406.28,104.59,97.25,34.29,102.61,106.57,95.43,98.78,
EE7,storeys_above_ground,1,4,1.83,2.0,0.44,1.81,1.86,2.0,2.0,
EE7,length_footprint,5.87,29.55,13.52,13.22,2.65,13.37,13.67,13.06,13.35,
EE7,width_footprint,6.19,26.67,13.34,13.08,2.6,13.19,13.49,12.93,13.27,
EE7,roof_ridge_height,2.2,17.79,8.55,8.6,1.58,8.46,8.64,8.48,8.75,
EE7,eaves_height,2.1,15.79,5.86,5.93,1.51,5.77,5.95,5.81,6.04,
EE7,number_roof_surfaces,1,20,3.54,3.0,2.23,3.41,3.67,3.0,3.5,
EE7,roof_slope,37.2,90.0,59.92,55.54,14.71,59.07,60.77,54.19,57.22,
EE7,roof_type,,,,,,,,,,3100: 52.51%
EE7,roof_type,,,,,,,,,,3200: 17.56%
EE7,roof_type,,,,,,,,,,1000: 13.84%
EE7,roof_type,,,,,,,,,,3500: 8.82%
EE7,roof_type,,,,,,,,,,3300: 3.55%
EE7,roof_type,,,,,,,,,,5000: 2.51%
EE7,roof_type,,,,,,,,,,3400: 0.69%
EE7,roof_type,,,,,,,,,,2100: 0.43%
EE7,roof_type,,,,,,,,,,3900: 0.09%
EE7,development_type_code,,,,,,,,,,A12: 73.12%
EE7,development_type_code,,,,,,,,,,A13: 20.63%
EE7,development_type_code,,,,,,,,,,A11: 2.44%
EE7,development_type_code,,,,,,,,,,B12: 1.54%
EE7,development_type_code,,,,,,,,,,C11: 1.18%
EE7,development_type_code,,,,,,,,,,B11: 0.81%
EE7,development_type_code,,,,,,,,,,B13: 0.27%
ER2,building_footprint,48.9,367.48,218.22,238.29,160.24,48.9,367.48,48.9,367.48,
ER2,storeys_above_ground,2,3,2.33,2.0,0.58,2,3,2.0,3.0,
ER2,length_footprint,10.48,35.88,24.98,28.59,13.08,10.48,35.88,10.48,35.88,
ER2,width_footprint,9.09,21.98,17.25,20.69,7.1,9.09,21.98,9.09,21.98,
ER2,roof_ridge_height,7.8,11.49,9.16,8.2,2.02,7.8,11.49,7.8,11.49,
ER2,eaves_height,4.58,8.38,6.09,5.31,2.02,4.58,8.38,4.58,8.38,
ER2,number_roof_surfaces,4,18,9.0,5.0,7.81,4,18,4.0,18.0,
ER2,roof_slope,39.41,48.11,44.01,44.5,4.37,39.41,48.11,39.41,48.11,
ER2,roof_type,,,,,,,,,,3100: 100.0%
ER2,development_type_code,,,,,,,,,,A12: 100.0%
ER3,building_footprint,35.48,244.33,73.38,69.93,26.42,69.45,77.31,67.3,73.63,
ER3,storeys_above_ground,1,3,1.98,2.0,0.18,1.95,2.0,2.0,2.0,
ER3,length_footprint,6.43,29.54,11.18,11.21,2.95,10.74,11.62,10.51,11.69,
ER3,width_footprint,5.44,28.74,11.12,10.86,2.69,10.72,11.52,10.49,11.33,
ER3,roof_ridge_height,4.33,15.36,10.6,10.73,1.77,10.33,10.86,10.52,10.91,
ER3,eaves_height,3.52,14.24,7.09,6.96,1.56,6.86,7.32,6.78,7.17,
ER3,number_roof_surfaces,1,22,4.48,4.0,2.75,4.07,4.89,3.0,4.0,
ER3,roof_slope,29.57,90.0,51.13,49.27,9.74,49.68,52.58,48.26,50.03,
ER3,roof_type,,,,,,,,,,3100: 51.14%
ER3,roof_type,,,,,,,,,,3200: 34.09%
ER3,roof_type,,,,,,,,,,3300: 9.09%
ER3,roof_type,,,,,,,,,,3400: 4.55%
ER3,roof_type,,,,,,,,,,1000: 0.57%
ER3,roof_type,,,,,,,,,,5000: 0.57%
ER3,development_type_code,,,,,,,,,,A12: 57.31%
ER3,development_type_code,,,,,,,,,,A13: 19.88%
ER3,development_type_code,,,,,,,,,,B11: 16.37%
ER3,development_type_code,,,,,,,,,,C11: 3.51%
ER3,development_type_code,,,,,,,,,,B12: 2.92%
ER4,building_footprint,27.76,206.49,64.18,59.91,21.27,63.11,65.25,58.7,61.22,
ER4,storeys_above_ground,1,3,1.85,2.0,0.39,1.83,1.87,2.0,2.0,
ER4,length_footprint,6.15,25.41,11.15,10.65,2.27,11.04,11.26,10.57,10.75,
ER4,width_footprint,3.65,26.27,10.8,10.37,2.67,10.67,10.94,10.26,10.48,
ER4,roof_ridge_height,1.85,14.28,9.63,9.92,1.93,9.53,9.72,9.73,10.07,
ER4,eaves_height,1.85,10.44,6.29,6.45,1.4,6.22,6.36,6.39,6.49,
ER4,number_roof_surfaces,1,17,3.68,3.0,1.68,3.6,3.77,3.0,4.0,
ER4,roof_slope,27.93,90.0,51.61,46.38,14.34,50.89,52.33,45.96,46.99,
ER4,roof_type,,,,,,,,,,3100: 69.32%
ER4,roof_type,,,,,,,,,,3200: 24.09%
ER4,roof_type,,,,,,,,,,3300: 2.17%
ER4,roof_type,,,,,,,,,,5000: 1.78%
ER4,roof_type,,,,,,,,,,1000: 1.45%
ER4,roof_type,,,,,,,,,,2100: 0.59%
ER4,roof_type,,,,,,,,,,3400: 0.59%
ER4,development_type_code,,,,,,,,,,A12: 48.62%
ER4,development_type_code,,,,,,,,,,B11: 43.81%
ER4,development_type_code,,,,,,,,,,B12: 3.56%
ER4,development_type_code,,,,,,,,,,A13: 3.1%
ER4,development_type_code,,,,,,,,,,C11: 0.86%
ER4,development_type_code,,,,,,,,,,A11: 0.07%
ER5,building_footprint,30.38,224.08,97.64,111.22,32.8,92.89,102.4,89.22,113.52,
ER5,storeys_above_ground,1,2,1.4,1.0,0.49,1.33,1.47,1.0,1.0,
ER5,length_footprint,5.89,26.58,13.42,13.67,2.94,12.99,13.85,12.72,14.32,
ER5,width_footprint,5.03,22.81,12.11,11.24,3.13,11.65,12.56,10.95,12.16,
ER5,roof_ridge_height,2.15,12.7,6.36,6.14,2.89,5.94,6.78,4.22,7.08,
ER5,eaves_height,2.15,9.07,4.54,4.1,1.38,4.34,4.74,3.93,4.51,
ER5,number_roof_surfaces,1,10,2.43,2.0,1.61,2.19,2.66,2.0,3.0,
ER5,roof_slope,38.19,90.0,69.93,74.41,20.39,66.97,72.89,64.36,90.0,
ER5,roof_type,,,,,,,,,,3100: 52.97%
ER5,roof_type,,,,,,,,,,1000: 41.08%
ER5,roof_type,,,,,,,,,,5000: 3.24%
ER5,roof_type,,,,,,,,,,2100: 2.16%
ER5,roof_type,,,,,,,,,,3200: 0.54%
ER5,development_type_code,,,,,,,,,,A12: 49.73%
ER5,development_type_code,,,,,,,,,,B11: 40.0%
ER5,development_type_code,,,,,,,,,,A13: 8.65%
ER5,development_type_code,,,,,,,,,,B12: 1.08%
ER5,development_type_code,,,,,,,,,,A11: 0.54%
ER7,building_footprint,32.03,451.56,74.82,66.44,32.11,72.65,76.98,65.13,67.87,
ER7,storeys_above_ground,1,4,2.08,2.0,0.42,2.05,2.11,2.0,2.0,
ER7,length_footprint,5.62,36.41,11.64,11.5,2.52,11.47,11.81,11.33,11.61,
ER7,width_footprint,5.27,29.98,11.81,11.71,2.36,11.65,11.97,11.63,11.9,
ER7,roof_ridge_height,2.26,17.74,9.77,9.8,1.38,9.67,9.86,9.73,9.84,
ER7,eaves_height,2.26,16.48,6.63,6.2,1.56,6.53,6.74,6.12,6.29,
ER7,number_roof_surfaces,1,22,2.7,2.0,1.77,2.58,2.82,2.0,2.0,
ER7,roof_slope,32.2,90.0,59.15,54.08,15.15,58.13,60.18,53.69,54.41,
ER7,roof_type,,,,,,,,,,3100: 71.48%
ER7,roof_type,,,,,,,,,,1000: 17.16%
ER7,roof_type,,,,,,,,,,3200: 6.63%
ER7,roof_type,,,,,,,,,,3500: 1.18%
ER7,roof_type,,,,,,,,,,3300: 1.18%
ER7,roof_type,,,,,,,,,,5000: 0.95%
ER7,roof_type,,,,,,,,,,3400: 0.83%
ER7,roof_type,,,,,,,,,,2100: 0.59%
ER7,development_type_code,,,,,,,,,,A12: 37.97%
ER7,development_type_code,,,,,,,,,,B11: 32.41%
ER7,development_type_code,,,,,,,,,,A13: 17.72%
ER7,development_type_code,,,,,,,,,,B12: 5.7%
ER7,development_type_code,,,,,,,,,,A11: 3.29%
ER7,development_type_code,,,,,,,,,,C11: 1.14%
ER7,development_type_code,,,,,,,,,,C12: 1.01%
ER7,development_type_code,,,,,,,,,,B13: 0.76%
HH3,building_footprint,29.37,654.89,100.82,89.17,57.44,95.01,106.63,84.09,94.62,
HH3,storeys_above_ground,1,5,1.98,2.0,0.39,1.94,2.02,2.0,2.0,
HH3,length_footprint,4.26,47.52,13.78,13.38,5.31,13.25,14.32,12.67,14.0,
HH3,width_footprint,5.7,42.96,14.31,13.62,5.22,13.78,14.84,13.16,14.28,
HH3,roof_ridge_height,2.07,18.99,7.24,6.98,1.81,7.05,7.42,6.84,7.12,
HH3,eaves_height,2.07,14.36,6.73,6.53,1.66,6.56,6.9,6.38,6.63,
HH3,number_roof_surfaces,1,11,1.7,1.0,1.47,1.55,1.85,1.0,1.0,
HH3,roof_slope,27.91,90.0,84.43,90.0,9.57,83.46,85.4,90.0,90.0,
HH3,roof_type,,,,,,,,,,1000: 61.9%
HH3,roof_type,,,,,,,,,,2100: 16.67%
HH3,roof_type,,,,,,,,,,3100: 8.73%
HH3,roof_type,,,,,,,,,,5000: 7.41%
HH3,roof_type,,,,,,,,,,3400: 2.65%
HH3,roof_type,,,,,,,,,,3200: 2.38%
HH3,roof_type,,,,,,,,,,3300: 0.26%
HH3,development_type_code,,,,,,,,,,A13: 67.69%
HH3,development_type_code,,,,,,,,,,C11: 20.89%
HH3,development_type_code,,,,,,,,,,A12: 6.69%
HH3,development_type_code,,,,,,,,,,B12: 2.79%
HH3,development_type_code,,,,,,,,,,A11: 1.67%
HH3,development_type_code,,,,,,,,,,B13: 0.28%
HH4,building_footprint,67.52,67.52,67.52,67.52,nan,nan,nan,67.52,67.52,
HH4,storeys_above_ground,1,1,1.0,1.0,nan,nan,nan,1.0,1.0,
HH4,length_footprint,10.41,10.41,10.41,10.41,nan,nan,nan,10.41,10.41,
HH4,width_footprint,8.7,8.7,8.7,8.7,nan,nan,nan,8.7,8.7,
HH4,roof_ridge_height,6.53,6.53,6.53,6.53,nan,nan,nan,6.53,6.53,
HH4,eaves_height,3.73,3.73,3.73,3.73,nan,nan,nan,3.73,3.73,
HH4,number_roof_surfaces,5,5,5.0,5.0,nan,nan,nan,5.0,5.0,
HH4,roof_slope,45.07,45.07,45.07,45.07,nan,nan,nan,45.07,45.07,
HH4,roof_type,,,,,,,,,,3200: 100.0%
HH4,development_type_code,,,,,,,,,,A13: 100.0%
HH7,building_footprint,40.39,117.71,73.17,60.68,36.06,40.39,117.71,40.39,117.71,
HH7,storeys_above_ground,1,3,1.4,1.0,0.89,1,2.51,1.0,3.0,
HH7,length_footprint,8.11,10.65,9.58,9.69,1.05,8.28,10.65,8.11,10.65,
HH7,width_footprint,9.4,20.68,14.26,11.12,5.74,9.4,20.68,9.4,20.68,
HH7,roof_ridge_height,3.04,9.67,4.78,3.7,2.76,3.04,8.21,3.04,9.67,
HH7,eaves_height,3.04,9.67,4.78,3.7,2.76,3.04,8.21,3.04,9.67,
HH7,number_roof_surfaces,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
HH7,roof_slope,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,
HH7,roof_type,,,,,,,,,,1000: 100.0%
HH7,development_type_code,,,,,,,,,,C11: 40.0%
HH7,development_type_code,,,,,,,,,,A11: 40.0%
HH7,development_type_code,,,,,,,,,,A13: 20.0%
LW1,building_footprint,33.5,244.77,81.98,77.6,34.13,73.31,90.65,68.79,82.19,
LW1,storeys_above_ground,1,3,1.98,2.0,0.29,1.91,2.06,2.0,2.0,
LW1,length_footprint,6.08,28.35,12.74,12.41,3.46,11.86,13.62,11.8,13.18,
LW1,width_footprint,6.03,17.46,12.02,11.99,2.66,11.34,12.69,10.95,13.23,
LW1,roof_ridge_height,4.95,11.55,8.43,8.33,1.27,8.11,8.75,7.96,8.7,
LW1,eaves_height,2.66,10.88,5.61,5.45,1.25,5.3,5.93,5.19,5.98,
LW1,number_roof_surfaces,2,11,3.39,3.0,1.9,2.9,3.87,2.0,3.0,
LW1,roof_slope,35.12,90.0,44.91,41.44,10.35,42.28,47.53,40.56,43.38,
LW1,roof_type,,,,,,,,,,3100: 80.65%
LW1,roof_type,,,,,,,,,,3300: 14.52%
LW1,roof_type,,,,,,,,,,3200: 4.84%
LW1,development_type_code,,,,,,,,,,A11: 50.0%
LW1,development_type_code,,,,,,,,,,A12: 26.47%
LW1,development_type_code,,,,,,,,,,A13: 14.71%
LW1,development_type_code,,,,,,,,,,C11: 8.82%
LW2,building_footprint,31.8,473.24,123.71,101.97,80.44,113.59,133.83,94.67,108.95,
LW2,storeys_above_ground,1,4,1.92,2.0,0.38,1.87,1.97,2.0,2.0,
LW2,length_footprint,6.39,35.34,14.84,13.33,5.51,14.15,15.53,12.86,14.28,
LW2,width_footprint,5.13,40.74,15.16,14.0,6.3,14.37,15.95,13.46,14.9,
LW2,roof_ridge_height,2.63,18.75,9.06,8.86,2.05,8.8,9.32,8.47,9.07,
LW2,eaves_height,2.57,18.25,6.11,5.77,1.8,5.88,6.34,5.57,6.09,
LW2,number_roof_surfaces,1,34,4.51,3.0,4.56,3.94,5.08,3.0,3.0,
LW2,roof_slope,31.38,90.0,47.98,46.39,9.54,46.78,49.18,45.13,47.53,
LW2,roof_type,,,,,,,,,,3100: 79.59%
LW2,roof_type,,,,,,,,,,3300: 9.8%
LW2,roof_type,,,,,,,,,,3200: 5.31%
LW2,roof_type,,,,,,,,,,5000: 3.27%
LW2,roof_type,,,,,,,,,,1000: 1.22%
LW2,roof_type,,,,,,,,,,2100: 0.82%
LW2,development_type_code,,,,,,,,,,A11: 49.17%
LW2,development_type_code,,,,,,,,,,A12: 25.97%
LW2,development_type_code,,,,,,,,,,A13: 16.57%
LW2,development_type_code,,,,,,,,,,B12: 4.97%
LW2,development_type_code,,,,,,,,,,B11: 2.21%
LW2,development_type_code,,,,,,,,,,C11: 0.55%
LW2,development_type_code,,,,,,,,,,C12: 0.55%
LW3,building_footprint,69.27,165.98,105.85,101.68,32.18,84.23,127.47,80.62,128.29,
LW3,storeys_above_ground,1,2,1.91,2.0,0.3,1.71,2,2.0,2.0,
LW3,length_footprint,7.38,20.14,13.4,11.72,4.09,10.65,16.14,11.45,16.91,
LW3,width_footprint,11.59,20.48,14.79,14.23,2.99,12.78,16.8,12.3,17.3,
LW3,roof_ridge_height,5.25,10.67,8.65,8.47,1.55,7.61,9.69,7.82,10.14,
LW3,eaves_height,4.42,7.83,5.88,6.01,0.94,5.25,6.51,5.25,6.46,
LW3,number_roof_surfaces,1,8,4.0,3.0,2.24,2.5,5.5,2.0,6.0,
LW3,roof_slope,39.31,90.0,52.63,48.23,14.45,42.92,62.34,43.1,60.06,
LW3,roof_type,,,,,,,,,,3100: 90.91%
LW3,roof_type,,,,,,,,,,3200: 9.09%
LW3,development_type_code,,,,,,,,,,A12: 75.0%
LW3,development_type_code,,,,,,,,,,A11: 25.0%
LW7,building_footprint,59.65,376.48,129.42,95.74,85.29,80.18,178.66,75.34,149.01,
LW7,storeys_above_ground,1,3,2.0,2.0,0.39,1.77,2.23,2.0,2.0,
LW7,length_footprint,7.8,20.34,13.28,12.31,3.81,11.08,15.49,11.22,15.97,
LW7,width_footprint,5.87,30.71,15.8,12.91,7.54,11.45,20.16,11.11,19.95,
LW7,roof_ridge_height,6.46,12.75,10.34,10.52,1.92,9.23,11.45,9.73,11.6,
