Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
EE5,development_type_code,,,,,,,,,,C11: 0.19%
EE7,building_footprint,15.1,809.39,181.7,169.29,75.16,177.26,186.14,166.26,171.78,
EE7,storeys_above_ground,1,4,1.83,2.0,0.45,1.8,1.85,2.0,2.0,
EE7,length_footprint,3.0,31.69,13.36,13.07,2.81,13.19,13.53,12.98,13.25,
EE7,width_footprint,4.88,26.67,13.18,12.95,2.7,13.02,13.33,12.78,13.16,
EE7,roof_ridge_height,1.82,17.79,8.48,8.54,1.63,8.38,8.57,8.44,8.69,
EE7,eaves_height,1.82,14.03,5.54,5.58,1.52,5.45,5.63,5.42,5.73,
EE7,number_roof_surfaces,1,20,3.48,3.0,2.19,3.35,3.61,3.0,3.0,
EE7,roof_slope,0.0,90.0,37.35,44.66,35.16,33.1,41.59,30.48,51.29,
EE7,roof_type,,,,,,,,,,3100: 51.41%
EE7,roof_type,,,,,,,,,,3200: 18.04%
EE7,roof_type,,,,,,,,,,1000: 14.78%
EE7,roof_type,,,,,,,,,,3500: 8.61%
EE7,roof_type,,,,,,,,,,3300: 3.35%
EE7,roof_type,,,,,,,,,,5000: 2.54%
EE7,roof_type,,,,,,,,,,3400: 0.63%
EE7,roof_type,,,,,,,,,,2100: 0.45%
EE7,roof_type,,,,,,,,,,3900: 0.18%
EE7,development_type_code,,,,,,,,,,A12: 73.98%
EE7,development_type_code,,,,,,,,,,A13: 19.96%
EE7,development_type_code,,,,,,,,,,A11: 2.27%
EE7,development_type_code,,,,,,,,,,B12: 1.51%
EE7,development_type_code,,,,,,,,,,C11: 1.23%
EE7,development_type_code,,,,,,,,,,B11: 0.76%
EE7,development_type_code,,,,,,,,,,B13: 0.28%
ER2,building_footprint,134.82,788.48,504.98,591.62,335.34,134.82,788.48,134.82,788.48,
ER2,storeys_above_ground,2,3,2.33,2.0,0.58,2,3,2.0,3.0,
ER2,length_footprint,11.25,35.88,25.24,28.59,12.65,11.25,35.88,11.25,35.88,
ER2,width_footprint,11.98,21.98,18.22,20.69,5.44,11.98,21.98,11.98,21.98,
ER2,roof_ridge_height,8.2,11.49,9.44,8.62,1.79,8.2,11.49,8.2,11.49,
ER2,eaves_height,4.58,7.06,5.52,4.93,1.34,4.58,7.06,4.58,7.06,
ER2,number_roof_surfaces,3,18,8.67,5.0,8.14,3,18,3.0,18.0,
ER2,roof_type,,,,,,,,,,3100: 100.0%
ER2,development_type_code,,,,,,,,,,A12: 100.0%
ER3,building_footprint,21.0,478.76,124.31,120.39,54.17,116.22,132.39,105.77,130.05,
ER3,storeys_above_ground,1,3,1.97,2.0,0.2,1.94,2.0,2.0,2.0,
ER3,length_footprint,4.55,18.62,11.0,11.15,2.6,10.61,11.38,10.37,11.62,
ER3,width_footprint,4.61,28.74,10.96,10.85,2.49,10.59,11.33,10.46,11.33,
ER3,roof_ridge_height,4.33,15.36,10.58,10.73,1.74,10.32,10.84,10.52,10.94,
ER3,eaves_height,2.29,13.65,6.54,6.73,1.65,6.3,6.79,6.48,6.88,
ER3,number_roof_surfaces,1,22,4.35,4.0,2.61,3.96,4.74,3.0,4.0,
ER3,roof_slope,0.0,90.0,40.07,49.14,37.1,32.35,47.8,0.0,58.33,
ER3,roof_type,,,,,,,,,,3100: 51.43%
ER3,roof_type,,,,,,,,,,3200: 34.29%
ER3,roof_type,,,,,,,,,,3300: 9.14%
ER3,roof_type,,,,,,,,,,3400: 4.57%
ER3,roof_type,,,,,,,,,,1000: 0.57%
ER3,development_type_code,,,,,,,,,,A12: 59.41%
ER3,development_type_code,,,,,,,,,,A13: 18.82%
ER3,development_type_code,,,,,,,,,,B11: 15.29%
ER3,development_type_code,,,,,,,,,,C11: 3.53%
ER3,development_type_code,,,,,,,,,,B12: 2.94%
ER4,building_footprint,11.51,665.38,122.88,109.12,62.07,119.83,125.92,105.65,111.94,
ER4,storeys_above_ground,1,3,1.82,2.0,0.42,1.8,1.84,2.0,2.0,
ER4,length_footprint,1.92,25.41,11.0,10.6,2.53,10.88,11.13,10.49,10.7,
ER4,width_footprint,3.65,26.27,10.69,10.31,2.82,10.55,10.83,10.21,10.4,
ER4,roof_ridge_height,1.23,16.27,9.41,9.76,2.25,9.3,9.52,9.59,9.96,
ER4,eaves_height,0.94,11.45,5.47,5.86,1.81,5.38,5.56,5.76,5.97,
ER4,number_roof_surfaces,1,17,3.57,3.0,1.73,3.49,3.66,3.0,3.0,
ER4,roof_slope,0.0,90.0,40.12,46.7,35.76,37.74,42.49,42.75,48.99,
ER4,roof_type,,,,,,,,,,3100: 67.11%
ER4,roof_type,,,,,,,,,,3200: 23.06%
ER4,roof_type,,,,,,,,,,1000: 4.39%
ER4,roof_type,,,,,,,,,,3300: 2.07%
ER4,roof_type,,,,,,,,,,2100: 1.38%
ER4,roof_type,,,,,,,,,,5000: 1.38%
ER4,roof_type,,,,,,,,,,3400: 0.56%
ER4,roof_type,,,,,,,,,,2500: 0.06%
ER4,development_type_code,,,,,,,,,,A12: 50.06%
ER4,development_type_code,,,,,,,,,,B11: 42.6%
ER4,development_type_code,,,,,,,,,,B12: 3.45%
ER4,development_type_code,,,,,,,,,,A13: 2.89%
ER4,development_type_code,,,,,,,,,,C11: 0.88%
ER4,development_type_code,,,,,,,,,,A11: 0.13%
ER5,building_footprint,26.84,496.04,173.14,173.98,65.2,163.5,182.78,168.37,176.36,
ER5,storeys_above_ground,1,3,1.43,1.0,0.51,1.35,1.5,1.0,1.0,
ER5,length_footprint,5.78,26.58,13.67,13.75,2.8,13.26,14.08,13.53,14.43,
ER5,width_footprint,4.64,22.81,12.38,11.6,3.02,11.93,12.82,11.0,12.33,
ER5,roof_ridge_height,2.88,15.16,6.59,6.82,2.9,6.16,7.02,4.6,7.72,
ER5,eaves_height,1.61,10.29,4.37,3.97,1.36,4.17,4.57,3.84,4.2,
ER5,number_roof_surfaces,1,10,2.53,2.0,1.7,2.28,2.78,2.0,3.0,
ER5,roof_slope,0.0,90.0,42.13,47.07,31.18,31.25,53.01,42.05,53.92,
ER5,roof_type,,,,,,,,,,3100: 55.06%
ER5,roof_type,,,,,,,,,,1000: 38.76%
ER5,roof_type,,,,,,,,,,5000: 3.37%
ER5,roof_type,,,,,,,,,,2100: 1.69%
ER5,roof_type,,,,,,,,,,3200: 1.12%
ER5,development_type_code,,,,,,,,,,A12: 47.75%
ER5,development_type_code,,,,,,,,,,B11: 42.13%
ER5,development_type_code,,,,,,,,,,A13: 7.87%
ER5,development_type_code,,,,,,,,,,B12: 1.69%
ER5,development_type_code,,,,,,,,,,A11: 0.56%
ER7,building_footprint,23.8,1005.13,138.06,128.17,61.6,133.78,142.33,125.51,130.32,
ER7,storeys_above_ground,1,4,2.08,2.0,0.42,2.06,2.11,2.0,2.0,
ER7,length_footprint,4.89,36.41,11.61,11.48,2.48,11.44,11.78,11.31,11.59,
ER7,width_footprint,4.87,29.98,11.71,11.69,2.32,11.55,11.87,11.62,11.81,
ER7,roof_ridge_height,1.49,13.44,9.8,9.82,1.37,9.71,9.9,9.77,9.86,
ER7,eaves_height,1.49,12.41,6.33,6.11,1.46,6.23,6.43,6.04,6.2,
ER7,number_roof_surfaces,1,14,2.64,2.0,1.53,2.53,2.74,2.0,2.0,
ER7,roof_slope,0.0,90.0,34.2,37.63,35.8,29.31,39.1,0.0,43.73,
ER7,roof_type,,,,,,,,,,3100: 71.25%
ER7,roof_type,,,,,,,,,,1000: 16.75%
ER7,roof_type,,,,,,,,,,3200: 6.75%
ER7,roof_type,,,,,,,,,,3300: 1.25%
ER7,roof_type,,,,,,,,,,3500: 1.25%
ER7,roof_type,,,,,,,,,,5000: 1.12%
ER7,roof_type,,,,,,,,,,3400: 1.0%
ER7,roof_type,,,,,,,,,,2100: 0.62%
ER7,development_type_code,,,,,,,,,,A12: 37.14%
ER7,development_type_code,,,,,,,,,,B11: 33.42%
ER7,development_type_code,,,,,,,,,,A13: 17.51%
ER7,development_type_code,,,,,,,,,,B12: 5.84%
ER7,development_type_code,,,,,,,,,,A11: 2.65%
ER7,development_type_code,,,,,,,,,,C12: 1.33%
ER7,development_type_code,,,,,,,,,,C11: 1.19%
ER7,development_type_code,,,,,,,,,,B13: 0.93%
HH3,building_footprint,21.87,1145.02,217.06,184.14,153.8,198.46,235.66,164.76,204.74,
HH3,storeys_above_ground,1,5,2.03,2.0,0.59,1.96,2.1,2.0,2.0,
HH3,length_footprint,4.45,36.74,14.01,13.72,5.23,13.38,14.64,12.61,14.58,
HH3,width_footprint,4.75,45.55,14.48,13.68,5.38,13.83,15.13,13.21,14.48,
HH3,roof_ridge_height,2.54,24.66,7.8,7.07,3.19,7.41,8.19,6.85,7.35,
HH3,eaves_height,2.54,20.99,6.8,6.39,2.66,6.48,7.12,6.25,6.57,
HH3,number_roof_surfaces,1,21,2.02,1.0,2.36,1.73,2.3,1.0,1.0,
HH3,roof_slope,0.0,90.0,27.88,0.0,32.63,22.34,33.41,0.0,36.91,
HH3,roof_type,,,,,,,,,,1000: 57.74%
HH3,roof_type,,,,,,,,,,2100: 14.34%
HH3,roof_type,,,,,,,,,,3100: 10.57%
HH3,roof_type,,,,,,,,,,5000: 6.79%
HH3,roof_type,,,,,,,,,,3400: 5.66%
HH3,roof_type,,,,,,,,,,3200: 4.53%
HH3,roof_type,,,,,,,,,,3300: 0.38%
HH3,development_type_code,,,,,,,,,,A13: 69.92%
HH3,development_type_code,,,,,,,,,,C11: 16.8%
HH3,development_type_code,,,,,,,,,,A12: 8.2%
HH3,development_type_code,,,,,,,,,,B12: 3.52%
HH3,development_type_code,,,,,,,,,,A11: 1.56%
HH4,building_footprint,90.54,90.54,90.54,90.54,nan,nan,nan,90.54,90.54,
HH4,storeys_above_ground,1,1,1.0,1.0,nan,nan,nan,1.0,1.0,
HH4,length_footprint,10.41,10.41,10.41,10.41,nan,nan,nan,10.41,10.41,
HH4,width_footprint,8.7,8.7,8.7,8.7,nan,nan,nan,8.7,8.7,
HH4,roof_ridge_height,6.53,6.53,6.53,6.53,nan,nan,nan,6.53,6.53,
HH4,eaves_height,2.36,2.36,2.36,2.36,nan,nan,nan,2.36,2.36,
HH4,number_roof_surfaces,5,5,5.0,5.0,nan,nan,nan,5.0,5.0,
HH4,roof_type,,,,,,,,,,3200: 100.0%
HH4,development_type_code,,,,,,,,,,A13: 100.0%
LW1,building_footprint,28.4,314.62,150.3,147.97,60.49,134.8,165.79,129.62,163.32,
LW1,storeys_above_ground,1,4,1.97,2.0,0.41,1.86,2.07,2.0,2.0,
LW1,length_footprint,4.94,28.35,12.55,12.24,3.76,11.59,13.52,11.22,13.16,
LW1,width_footprint,4.81,17.46,11.77,11.91,2.97,11.01,12.53,10.68,12.96,
LW1,roof_ridge_height,2.72,15.02,8.31,8.31,1.69,7.88,8.75,7.87,8.48,
LW1,eaves_height,2.39,11.96,5.34,5.17,1.58,4.93,5.75,5.0,5.47,
LW1,number_roof_surfaces,1,11,3.43,3.0,2.12,2.88,3.97,2.0,3.0,
LW1,roof_slope,0.0,90.0,39.46,39.68,38.7,21.84,57.08,0.0,64.44,
LW1,roof_type,,,,,,,,,,3100: 75.41%
LW1,roof_type,,,,,,,,,,3300: 14.75%
LW1,roof_type,,,,,,,,,,3200: 4.92%
LW1,roof_type,,,,,,,,,,1000: 3.28%
LW1,roof_type,,,,,,,,,,3400: 1.64%
LW1,development_type_code,,,,,,,,,,A11: 45.95%
LW1,development_type_code,,,,,,,,,,A12: 27.03%
LW1,development_type_code,,,,,,,,,,C11: 13.51%
LW1,development_type_code,,,,,,,,,,A13: 13.51%
LW2,building_footprint,12.2,1093.75,227.45,180.41,179.29,204.05,250.85,161.67,199.56,
LW2,storeys_above_ground,1,3,1.88,2.0,0.36,1.83,1.93,2.0,2.0,
LW2,length_footprint,3.27,35.28,14.4,13.25,5.73,13.65,15.15,12.46,14.12,
LW2,width_footprint,3.47,35.68,14.62,13.74,6.02,13.83,15.4,13.09,14.41,
LW2,roof_ridge_height,2.14,13.73,8.86,8.77,2.02,8.6,9.13,8.38,9.0,
LW2,eaves_height,2.14,10.52,5.7,5.6,1.57,5.5,5.91,5.36,5.82,
LW2,number_roof_surfaces,1,34,4.42,3.0,4.65,3.81,5.03,2.0,3.0,
LW2,roof_slope,0.0,90.0,38.52,45.65,36.35,30.43,46.61,0.0,55.58,
LW2,roof_type,,,,,,,,,,3100: 76.75%
LW2,roof_type,,,,,,,,,,3300: 8.77%
LW2,roof_type,,,,,,,,,,3200: 5.7%
LW2,roof_type,,,,,,,,,,1000: 4.82%
LW2,roof_type,,,,,,,,,,5000: 2.63%
LW2,roof_type,,,,,,,,,,2100: 0.88%
LW2,roof_type,,,,,,,,,,3400: 0.44%
LW2,development_type_code,,,,,,,,,,A11: 52.41%
LW2,development_type_code,,,,,,,,,,A12: 23.49%
LW2,development_type_code,,,,,,,,,,A13: 16.87%
LW2,development_type_code,,,,,,,,,,B12: 4.22%
LW2,development_type_code,,,,,,,,,,B11: 2.41%
LW2,development_type_code,,,,,,,,,,C11: 0.6%
LW3,building_footprint,21.21,412.49,201.41,162.87,119.44,121.16,281.65,112.4,273.13,
LW3,storeys_above_ground,1,2,1.91,2.0,0.3,1.71,2,2.0,2.0,
LW3,length_footprint,3.43,20.14,13.06,12.98,5.15,9.6,16.52,9.13,16.91,
LW3,width_footprint,6.17,20.48,14.09,14.23,3.9,11.47,16.71,12.1,16.52,
LW3,roof_ridge_height,6.72,10.15,8.65,8.31,1.16,7.87,9.44,7.82,10.05,
LW3,eaves_height,3.04,6.74,5.33,5.85,1.24,4.5,6.16,4.69,6.11,
LW3,number_roof_surfaces,2,8,4.45,4.0,1.97,3.13,5.78,3.0,6.0,
LW3,roof_slope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LW3,roof_type,,,,,,,,,,3100: 100.0%
LW3,development_type_code,,,,,,,,,,A12: 75.0%
LW3,development_type_code,,,,,,,,,,A11: 25.0%
LW7,building_footprint,77.16,347.83,174.33,146.7,81.22,119.77,228.89,120.3,251.78,
LW7,storeys_above_ground,1,2,1.91,2.0,0.3,1.71,2,2.0,2.0,
LW7,length_footprint,7.8,18.42,12.54,12.1,3.51,10.17,14.9,8.84,15.22,
LW7,width_footprint,5.87,30.06,14.41,11.72,6.68,9.92,18.89,10.73,18.88,
LW7,roof_ridge_height,6.46,12.67,9.9,10.3,1.87,8.64,11.16,9.6,10.65,
LW7,eaves_height,3.66,7.3,6.16,6.5,1.03,5.47,6.86,5.63,6.84,
LW7,number_roof_surfaces,2,8,3.09,2.0,1.92,2,4.38,2.0,4.0,
LW7,roof_slope,0.0,65.99,30.61,44.11,29.92,7.61,53.62,0.0,65.4,
LW7,roof_type,,,,,,,,,,3100: 100.0%
LW7,development_type_code,,,,,,,,,,A11: 90.0%
LW7,development_type_code,,,,,,,,,,B12: 10.0%
LWS1,building_footprint,34.4,1061.64,335.48,259.42,208.99,287.72,383.23,231.09,345.14,
LWS1,storeys_above_ground,1,4,2.04,2.0,0.34,1.96,2.12,2.0,2.0,
LWS1,length_footprint,6.22,41.53,17.09,15.98,6.76,15.54,18.63,14.39,17.76,
LWS1,width_footprint,5.53,40.91,18.93,17.59,7.43,17.24,20.63,16.32,19.51,
LWS1,roof_ridge_height,5.11,20.39,9.65,9.4,1.86,9.22,10.07,9.22,9.73,
LWS1,eaves_height,3.29,12.71,5.86,5.72,1.32,5.56,6.16,5.48,5.86,
LWS1,number_roof_surfaces,2,14,3.71,2.0,2.64,3.11,4.31,2.0,3.5,
LWS1,roof_slope,0.0,90.0,35.07,40.73,35.76,23.79,46.36,0.0,56.19,
LWS1,roof_type,,,,,,,,,,3100: 78.95%
LWS1,roof_type,,,,,,,,,,3300: 13.16%
LWS1,roof_type,,,,,,,,,,5000: 5.26%
LWS1,roof_type,,,,,,,,,,1000: 1.32%
LWS1,roof_type,,,,,,,,,,3200: 1.32%
LWS1,development_type_code,,,,,,,,,,A11: 70.0%
LWS1,development_type_code,,,,,,,,,,A12: 17.5%
LWS1,development_type_code,,,,,,,,,,A13: 7.5%
LWS1,development_type_code,,,,,,,,,,C11: 2.5%
LWS1,development_type_code,,,,,,,,,,B12: 2.5%
LWS2,building_footprint,21.71,1804.74,398.29,317.22,289.19,354.1,442.47,266.65,375.63,
LWS2,storeys_above_ground,1,3,1.95,2.0,0.41,1.89,2.01,2.0,2.0,
LWS2,length_footprint,3.36,60.04,18.63,17.85,7.22,17.53,19.73,16.67,19.27,
LWS2,width_footprint,4.37,42.37,19.52,18.11,7.95,18.31,20.74,17.21,19.66,
LWS2,roof_ridge_height,2.61,15.27,9.22,9.5,2.34,8.86,9.58,9.21,9.71,
LWS2,eaves_height,2.15,10.45,5.73,5.75,1.58,5.49,5.97,5.61,5.96,
LWS2,number_roof_surfaces,1,38,4.7,3.0,4.92,3.95,5.45,2.0,4.0,
LWS2,roof_slope,0.0,90.0,38.56,44.33,37.01,29.39,47.73,0.0,54.57,
LWS2,roof_type,,,,,,,,,,3100: 73.05%
LWS2,roof_type,,,,,,,,,,3300: 8.98%
LWS2,roof_type,,,,,,,,,,1000: 6.59%
LWS2,roof_type,,,,,,,,,,5000: 4.79%
LWS2,roof_type,,,,,,,,,,2100: 2.99%
LWS2,roof_type,,,,,,,,,,3200: 2.99%
LWS2,roof_type,,,,,,,,,,3500: 0.6%
LWS2,development_type_code,,,,,,,,,,A11: 61.61%
LWS2,development_type_code,,,,,,,,,,A13: 20.54%
LWS2,development_type_code,,,,,,,,,,A12: 16.07%
LWS2,development_type_code,,,,,,,,,,B11: 1.79%
LWS3,building_footprint,129.3,228.48,186.68,202.25,51.39,129.3,228.48,129.3,228.48,
LWS3,storeys_above_ground,1,2,1.67,2.0,0.58,1,2,1.0,2.0,
LWS3,length_footprint,11.69,16.38,14.17,14.45,2.36,11.69,16.38,11.69,16.38,
LWS3,width_footprint,7.89,17.3,13.67,15.81,5.06,7.89,17.3,7.89,17.3,
